id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
11,Frasers Hospitality Celebrates Design Excellence with Award-Winning Serviced Residences,frasers-hospitality-celebrates-design-excellence-with-award-winning-serviced-residences,06 February 2024,06 February 2024,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/fh-celebrates-design-excellence-with-award-winning-serviced-residences/FH%20Design%20Excellence_Thumbnail_1080x1080.jpg,press_release,,,2024-11-26 23:58:36,2024-11-26 23:58:36,en,Frasers Hospitality Celebrates Design Excellence with Award-Winning Serviced Residences,06 February 2024,Frasers Hospitality Celebrates Design Excellence with Award-Winning Serviced Residences,06 February 2024,
12,One Bangkok Joins Forces with Frasers Hospitality to Develop Flagship Fraser Suites Bangkok,one-bangkok-joins-forces-with-frasers-hospitality-to-develop-flagship-fraser-suites-bangkok,28 November 2023,28 November 2023,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/one-bangkok-joins-forces-with-frasers-hospitality-to-develop-flagship-fraser-suites-bangkok-/Fraser%20Suites%20Bangkok2-Newsroom-Thumbnail-1080x1080.jpg,press_release,,,2024-11-26 23:58:36,2024-11-26 23:58:36,en,One Bangkok Joins Forces with Frasers Hospitality to Develop Flagship Fraser Suites Bangkok,28 November 2023,One Bangkok Joins Forces with Frasers Hospitality to Develop Flagship Fraser Suites Bangkok,28 November 2023,
13,Frasers Hospitality Takes Custody of Architectural and Cultural Conservation of Fabled Landmarks,frasers-hospitality-takes-custody-of-architectural-and-cultural-conservation-of-fabled-landmarks,07 November 2023,07 November 2023,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/heritage-gems/Heritage-Custodian-Newsroom-Thumbnail-1080x1080.jpg,press_release,,,2024-11-26 23:58:37,2024-11-26 23:58:37,en,Frasers Hospitality Takes Custody of Architectural and Cultural Conservation of Fabled Landmarks,07 November 2023,Frasers Hospitality Takes Custody of Architectural and Cultural Conservation of Fabled Landmarks,07 November 2023,
14,Frasers Hospitality Marks 25th Anniversary Milestone with String Of Travel Accolades in 2023,frasers-hospitality-marks-25th-anniversary-milestone-with-string-of-travel-accolades-in-2023,20 October 2023,20 October 2023,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/awards-round-up-2023/fh_en_newsroom_TTG-asia-2023.jpg,press_release,,,2024-11-26 23:58:37,2024-11-26 23:58:37,en,Frasers Hospitality Marks 25th Anniversary Milestone with String Of Travel Accolades in 2023,20 October 2023,Frasers Hospitality Marks 25th Anniversary Milestone with String Of Travel Accolades in 2023,20 October 2023,
15,Frasers Hospitality Sets New Standards in Waterfront Living with the Opening of Fraser Residence River Promenade,frasers-hospitality-sets-new-standards-in-waterfront-living-with-the-opening-of-fraser-residence-river-promenade,27 September 2023,27 September 2023,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/frasers-hospitality-sets-new-standards-in-waterfront-living-with-the-opening-of-fraser-residence-river-promenade/FRRP-Newsroom-Thumbnail-1080x1080.jpg,press_release,,,2024-11-26 23:58:38,2024-11-26 23:58:38,en,Frasers Hospitality Sets New Standards in Waterfront Living with the Opening of Fraser Residence River Promenade,27 September 2023,Frasers Hospitality Sets New Standards in Waterfront Living with the Opening of Fraser Residence River Promenade,27 September 2023,
16,"Capri by Fraser, Brisbane becomes the first hospitality asset to receive Climate Active certification in Queensland, Australia","capri-by-fraser,-brisbane-becomes-the-first-hospitality-asset-to-receive-climate-active-certification-in-queensland,-australia",07 August 2023,07 August 2023,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/capri-by-fraser-brisbane-first-hospitality-asset-to-receive-climate-active-certification-in-queensland/Capri-Brisbane-Climate-Active-Newsroom-Thumbnail-1080x1080.jpg,press_release,,,2024-11-26 23:58:38,2024-11-26 23:58:38,en,"Capri by Fraser, Brisbane becomes the first hospitality asset to receive Climate Active certification in Queensland, Australia",07 August 2023,"Capri by Fraser, Brisbane becomes the first hospitality asset to receive Climate Active certification in Queensland, Australia",07 August 2023,
17,"Frasers Hospitality Celebrates Grand Opening of Capri by Fraser Phnom Penh, Cambodia","frasers-hospitality-celebrates-grand-opening-of-capri-by-fraser-phnom-penh,-cambodia",03 August 2023,03 August 2023,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/frasers-hospitality-celebrates-grand-opening-of-capri-by-fraser-phnom-penh/CFPP-Newsroom-Thumbnail-1080x1080.jpg,press_release,,,2024-11-26 23:58:39,2024-11-26 23:58:39,en,"Frasers Hospitality Celebrates Grand Opening of Capri by Fraser Phnom Penh, Cambodia",03 August 2023,"Frasers Hospitality Celebrates Grand Opening of Capri by Fraser Phnom Penh, Cambodia",03 August 2023,
18,Frasers Hospitality Launches Inaugural Fraser Residence in Tianjin,frasers-hospitality-launches-inaugural-fraser-residence-in-tianjin,01 August 2023,01 August 2023,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/frasers-hospitality-launches-inaugural-fraser-residence-in-tianjin/FRTJ_Newsroom_Thumbnail_1080x1080.jpg,press_release,,,2024-11-26 23:58:39,2024-11-26 23:58:39,en,Frasers Hospitality Launches Inaugural Fraser Residence in Tianjin,01 August 2023,Frasers Hospitality Launches Inaugural Fraser Residence in Tianjin,01 August 2023,
19,Frasers Hospitality Celebrates Expansion in the Middle East with the Signing of Fraser Suites Al Liwan Bahrain with Seef Properties,frasers-hospitality-celebrates-expansion-in-the-middle-east-with-the-signing-of-fraser-suites-al-liwan-bahrain-with-seef-properties,26 June 2023,26 June 2023,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/frasers-hospitality-celebrates-middle-east-expansion/Frasers%20Hospitality%20Celebrates%20Expansion%20in%20Middle%20East_Newsroom_Thumbnail.jpg,press_release,,,2024-11-26 23:58:40,2024-11-26 23:58:40,en,Frasers Hospitality Celebrates Expansion in the Middle East with the Signing of Fraser Suites Al Liwan Bahrain with Seef Properties,26 June 2023,Frasers Hospitality Celebrates Expansion in the Middle East with the Signing of Fraser Suites Al Liwan Bahrain with Seef Properties,26 June 2023,
20,Frasers Hospitality Celebrates Tripadvisor® 2023 Travellers’ Choice® and Best of the Best Award Wins Across the Globe,frasers-hospitality-celebrates-tripadvisor®-2023-travellers’-choice®-and-best-of-the-best-award-wins-across-the-globe,26 May 2023,26 May 2023,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/tripadvisor-travellers-choice-2023-/fh_en_globalhome_newsroom_travellerchoice2023.jpg,press_release,,,2024-11-26 23:58:41,2024-11-26 23:58:41,en,Frasers Hospitality Celebrates Tripadvisor® 2023 Travellers’ Choice® and Best of the Best Award Wins Across the Globe,26 May 2023,Frasers Hospitality Celebrates Tripadvisor® 2023 Travellers’ Choice® and Best of the Best Award Wins Across the Globe,26 May 2023,
21,Frasers Hospitality Makes Maiden Acquisitions in Premium Rental Apartment Segment in China and Japan,frasers-hospitality-makes-maiden-acquisitions-in-premium-rental-apartment-segment-in-china-and-japan,23 May 2023,23 May 2023,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/FH_Acquires_Premium_Rental_Apartments_1080x1080px.jpg,press_release,,,2024-11-26 23:58:41,2024-11-26 23:58:41,en,Frasers Hospitality Makes Maiden Acquisitions in Premium Rental Apartment Segment in China and Japan,23 May 2023,Frasers Hospitality Makes Maiden Acquisitions in Premium Rental Apartment Segment in China and Japan,23 May 2023,
22,Frasers Hospitality Grows Presence in Indochina with first Capri by Fraser in Phnom Penh,frasers-hospitality-grows-presence-in-indochina-with-first-capri-by-fraser-in-phnom-penh,25 April 2023,25 April 2023,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/CapriPP_Newsroom.jpg,press_release,,,2024-11-26 23:58:42,2024-11-26 23:58:42,en,Frasers Hospitality Grows Presence in Indochina with first Capri by Fraser in Phnom Penh,25 April 2023,Frasers Hospitality Grows Presence in Indochina with first Capri by Fraser in Phnom Penh,25 April 2023,
23,Frasers Hospitality Celebrates 25 Years of Award-winning Serviced Apartments,frasers-hospitality-celebrates-25-years-of-award-winning-serviced-apartments,31 March 2023,31 March 2023,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/fh25/FH25_Newsroom_Thumbnail_1080x1080.png,press_release,,,2024-11-26 23:58:43,2024-11-26 23:58:43,en,Frasers Hospitality Celebrates 25 Years of Award-winning Serviced Apartments,31 March 2023,Frasers Hospitality Celebrates 25 Years of Award-winning Serviced Apartments,31 March 2023,
24,Frasers Hospitality is the World's Leading Serviced Apartment Brand yet again,frasers-hospitality-is-the-world's-leading-serviced-apartment-brand-yet-again,12 November 2022,12 November 2022,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/wta-brand-award/WTA_Majorwin_1080x1080_Thumbnail_Cover_Final.png,press_release,,,2024-11-26 23:58:43,2024-11-26 23:58:43,en,Frasers Hospitality is the World's Leading Serviced Apartment Brand yet again,12 November 2022,Frasers Hospitality is the World's Leading Serviced Apartment Brand yet again,12 November 2022,
25,Frasers Hospitality Scores Massive Wins in the Middle East at the World Travel Awards 2022,frasers-hospitality-scores-massive-wins-in-the-middle-east-at-the-world-travel-awards-2022,24 October 2022,24 October 2022,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/world-travel-awards-2022-emea/Cover.jpg,press_release,,,2024-11-26 23:58:44,2024-11-26 23:58:44,en,Frasers Hospitality Scores Massive Wins in the Middle East at the World Travel Awards 2022,24 October 2022,Frasers Hospitality Scores Massive Wins in the Middle East at the World Travel Awards 2022,24 October 2022,
26,Frasers Hospitality On Winning Streak At World Travel Awards,frasers-hospitality-on-winning-streak-at-world-travel-awards,08 September 2022,08 September 2022,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release-1/wta-2022-asia-and-oceania/WTA_Thumbnail.png,press_release,,,2024-11-26 23:58:44,2024-11-26 23:58:44,en,Frasers Hospitality On Winning Streak At World Travel Awards,08 September 2022,Frasers Hospitality On Winning Streak At World Travel Awards,08 September 2022,
27,Frasers Hospitality Expands Footprint Into Cambodia With Launch Of Three Properties,frasers-hospitality-expands-footprint-into-cambodia-with-launch-of-three-properties,15 February 2022,15 February 2022,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/Capri%20by%20fraser%20phnom%20penh.jpg,press_release,,,2024-11-26 23:58:45,2024-11-26 23:58:45,en,Frasers Hospitality Expands Footprint Into Cambodia With Launch Of Three Properties,15 February 2022,Frasers Hospitality Expands Footprint Into Cambodia With Launch Of Three Properties,15 February 2022,
28,Frasers Hospitality on the hunt for ‘real’ individuals to be the next #StarsOfFraser,frasers-hospitality-on-the-hunt-for-‘real’-individuals-to-be-the-next-#starsoffraser,29 June 2021,29 June 2021,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/-frasers-hospitality-on-the-hunt-for-real-individuals-to-be-the-next--starsoffraser/itemImage_15561_thumb.jpg,press_release,,,2024-11-26 23:58:45,2024-11-26 23:58:45,en,Frasers Hospitality on the hunt for ‘real’ individuals to be the next #StarsOfFraser,29 June 2021,Frasers Hospitality on the hunt for ‘real’ individuals to be the next #StarsOfFraser,29 June 2021,
29,Frasers Hospitality Forges Ahead with Expansion in China,frasers-hospitality-forges-ahead-with-expansion-in-china,26 May 2021,26 May 2021,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-forges-ahead-with-expansion-in-china/itemImage_15311_thumb.jpg,press_release,,,2024-11-26 23:58:46,2024-11-26 23:58:46,en,Frasers Hospitality Forges Ahead with Expansion in China,26 May 2021,Frasers Hospitality Forges Ahead with Expansion in China,26 May 2021,
30,Frasers Hospitality gives back to over 200 ‘Kindness Heroes’ worldwide,frasers-hospitality-gives-back-to-over-200-‘kindness-heroes’-worldwide,31 March 2021,31 March 2021,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-gives-back-to-over-200-kindness-heroes-worldwide/Remembering-Kindness_Press-Release-KV.jpg,press_release,,,2024-11-26 23:58:47,2024-11-26 23:58:47,en,Frasers Hospitality gives back to over 200 ‘Kindness Heroes’ worldwide,31 March 2021,Frasers Hospitality gives back to over 200 ‘Kindness Heroes’ worldwide,31 March 2021,
31,Frasers Hospitality reopens properties worldwide with #FraserCares commitment to guests,frasers-hospitality-reopens-properties-worldwide-with-#frasercares-commitment-to-guests,04 July 2020,04 July 2020,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-reopens-properties-worldwide-with-frasercares-commitment-to-guests/frasers-hospitality-reopens-properties-worldwide-with-frasercares-commitment-to-guests.jpg,press_release,,,2024-11-26 23:58:47,2024-11-26 23:58:47,en,Frasers Hospitality reopens properties worldwide with #FraserCares commitment to guests,04 July 2020,Frasers Hospitality reopens properties worldwide with #FraserCares commitment to guests,04 July 2020,
32,Frasers Hospitality clinched prestigious World’s Leading Serviced Apartment Brand award for the sixth year running,frasers-hospitality-clinched-prestigious-world’s-leading-serviced-apartment-brand-award-for-the-sixth-year-running,29 November 2019,29 November 2019,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-clinched-prestigious-worlds-leading-serviced-apartment-brand-award-for-the-sixth-year-running/1280px_-_WTA_Finals_2019_-_Group.jpg,press_release,,,2024-11-26 23:58:48,2024-11-26 23:58:48,en,Frasers Hospitality clinched prestigious World’s Leading Serviced Apartment Brand award for the sixth year running,29 November 2019,Frasers Hospitality clinched prestigious World’s Leading Serviced Apartment Brand award for the sixth year running,29 November 2019,
33,Frasers Hospitality Bags Six Prestigious Awards at the 2019 World Travel Awards for Asia & Oceania,frasers-hospitality-bags-six-prestigious-awards-at-the-2019-world-travel-awards-for-asia-&-oceania,14 October 2019,14 October 2019,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-bags-six-prestigious-awards-at-the-2019-world-travel-awards-for-asia---oceania/itemImage_11701_thumb.jpg,press_release,,,2024-11-26 23:58:48,2024-11-26 23:58:48,en,Frasers Hospitality Bags Six Prestigious Awards at the 2019 World Travel Awards for Asia & Oceania,14 October 2019,Frasers Hospitality Bags Six Prestigious Awards at the 2019 World Travel Awards for Asia & Oceania,14 October 2019,
34,Frasers Hospitality Celebrates Seven Years of Industry-Leading Service as Best Serviced Residence Operator,frasers-hospitality-celebrates-seven-years-of-industry-leading-service-as-best-serviced-residence-operator,27 September 2019,27 September 2019,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-celebrates-seven-years-of-industry-leading-service-as-best-serviced-residence-operator/itemImage_11631_thumb.jpg,press_release,,,2024-11-26 23:58:49,2024-11-26 23:58:49,en,Frasers Hospitality Celebrates Seven Years of Industry-Leading Service as Best Serviced Residence Operator,27 September 2019,Frasers Hospitality Celebrates Seven Years of Industry-Leading Service as Best Serviced Residence Operator,27 September 2019,
35,Fraser Suites Hamburg celebrates its grand opening in Hamburg’s prime district,fraser-suites-hamburg-celebrates-its-grand-opening-in-hamburg’s-prime-district,18 September 2019,18 September 2019,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/fraser-suites-hamburg-celebrates-its-grand-opening-in-hamburgs-prime-district/1280px_-_Plaque_unveiling.jpg,press_release,,,2024-11-26 23:58:49,2024-11-26 23:58:49,en,Fraser Suites Hamburg celebrates its grand opening in Hamburg’s prime district,18 September 2019,Fraser Suites Hamburg celebrates its grand opening in Hamburg’s prime district,18 September 2019,
36,"The upscale Fraser Residence Orchard, Singapore opens in prime location to serve Asia’s top expatriate destination","the-upscale-fraser-residence-orchard,-singapore-opens-in-prime-location-to-serve-asia’s-top-expatriate-destination",23 August 2019,23 August 2019,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/the-upscale-fraser-residence-orchard-singapore-opens-in-prime-location-to-serve-asias-top-expatriate-destination/1280px_-_1.jpg,press_release,,,2024-11-26 23:58:50,2024-11-26 23:58:50,en,"The upscale Fraser Residence Orchard, Singapore opens in prime location to serve Asia’s top expatriate destination",23 August 2019,"The upscale Fraser Residence Orchard, Singapore opens in prime location to serve Asia’s top expatriate destination",23 August 2019,
37,Frasers Hospitality makes its mark at the 2019 World Travel Awards in Africa and Europe,frasers-hospitality-makes-its-mark-at-the-2019-world-travel-awards-in-africa-and-europe,10 June 2019,10 June 2019,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-makes-its-mark-at-the-2019-world-travel-awards-in-africa-and-europe/itemImage_10621_thumb.jpg,press_release,,,2024-11-26 23:58:51,2024-11-26 23:58:51,en,Frasers Hospitality makes its mark at the 2019 World Travel Awards in Africa and Europe,10 June 2019,Frasers Hospitality makes its mark at the 2019 World Travel Awards in Africa and Europe,10 June 2019,
39,Frasers Hospitality unveils its latest German offering situated in a preserved historical landmark,frasers-hospitality-unveils-its-latest-german-offering-situated-in-a-preserved-historical-landmark,02 May 2019,02 May 2019,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-unveils-its-latest-german-offering-situated-in-a-preserved-historical-landmark/itemImage_10171_thumb.jpg,press_release,,,2024-11-26 23:58:52,2024-11-26 23:58:52,en,Frasers Hospitality unveils its latest German offering situated in a preserved historical landmark,02 May 2019,Frasers Hospitality unveils its latest German offering situated in a preserved historical landmark,02 May 2019,
40,Fraser Suites Muscat Breaks Through as Oman’s Leading Serviced Apartment at the 2019 World Travel Awards Middle East,fraser-suites-muscat-breaks-through-as-oman’s-leading-serviced-apartment-at-the-2019-world-travel-awards-middle-east,26 April 2019,26 April 2019,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/fraser-suites-muscat-breaks-through-as-omans-leading-serviced-apartment-at-the-2019-world-travel-awards-middle-east/WTA_ME_2019_FS_Muscat.jpg,press_release,,,2024-11-26 23:58:52,2024-11-26 23:58:52,en,Fraser Suites Muscat Breaks Through as Oman’s Leading Serviced Apartment at the 2019 World Travel Awards Middle East,26 April 2019,Fraser Suites Muscat Breaks Through as Oman’s Leading Serviced Apartment at the 2019 World Travel Awards Middle East,26 April 2019,
41,Fraser Residence Orchard opens in the heart of Singapore,fraser-residence-orchard-opens-in-the-heart-of-singapore,15 April 2019,15 April 2019,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/fraser-residence-orchard-opens-in-the-heart-of-singapore/itemImage_10061_thumb.jpg,press_release,,,2024-11-26 23:58:53,2024-11-26 23:58:53,en,Fraser Residence Orchard opens in the heart of Singapore,15 April 2019,Fraser Residence Orchard opens in the heart of Singapore,15 April 2019,
42,Frasers Hospitality Celebrates 21st Anniversary with ‘21 Minutes of Wellness’,frasers-hospitality-celebrates-21st-anniversary-with-‘21-minutes-of-wellness’,27 February 2019,27 February 2019,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-celebrates-21st-anniversary-with-21-minutes-of-wellness/itemImage_9631_thumb.jpg,press_release,,,2024-11-26 23:58:53,2024-11-26 23:58:53,en,Frasers Hospitality Celebrates 21st Anniversary with ‘21 Minutes of Wellness’,27 February 2019,Frasers Hospitality Celebrates 21st Anniversary with ‘21 Minutes of Wellness’,27 February 2019,
43,Frasers Property Announces the Retirement of its Hospitality CEO,frasers-property-announces-the-retirement-of-its-hospitality-ceo,13 February 2019,13 February 2019,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-property-announces-the-retirement-of-its-hospitality-ceo/itemImage_9511_thumb.jpg,press_release,,,2024-11-26 23:58:54,2024-11-26 23:58:54,en,Frasers Property Announces the Retirement of its Hospitality CEO,13 February 2019,Frasers Property Announces the Retirement of its Hospitality CEO,13 February 2019,
44,Frasers Hospitality Cements Leading Position as World’s Leading Serviced Apartment Brand for Fifth Consecutive Year,frasers-hospitality-cements-leading-position-as-world’s-leading-serviced-apartment-brand-for-fifth-consecutive-year,03 December 2018,03 December 2018,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-cements-leading-position-as-worlds-leading-serviced-apartment-brand-for-fifth-consecutive-year/WTA_Finals_CPS-Guus_Bakker-Ludovic_edited.jpg,press_release,,,2024-11-26 23:58:54,2024-11-26 23:58:54,en,Frasers Hospitality Cements Leading Position as World’s Leading Serviced Apartment Brand for Fifth Consecutive Year,03 December 2018,Frasers Hospitality Cements Leading Position as World’s Leading Serviced Apartment Brand for Fifth Consecutive Year,03 December 2018,
45,Frasers Hospitality Wins Seven Awards at the 2018 World Travel Awards for Asia & Australasia,frasers-hospitality-wins-seven-awards-at-the-2018-world-travel-awards-for-asia-&-australasia,04 September 2018,04 September 2018,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-wins-seven-awards-at-the-2018-world-travel-awards-for-asia---australasia/1280px-Singapore_Leading_Svc_Apt_FS_SG_Christina_Ng_Executive_Asst_Manager_Hires-Stage_8f5d47.jpg,press_release,,,2024-11-26 23:58:55,2024-11-26 23:58:55,en,Frasers Hospitality Wins Seven Awards at the 2018 World Travel Awards for Asia & Australasia,04 September 2018,Frasers Hospitality Wins Seven Awards at the 2018 World Travel Awards for Asia & Australasia,04 September 2018,
46,Frasers Hospitality Deepens Footprint in China with Multiple Openings in Key Cities,frasers-hospitality-deepens-footprint-in-china-with-multiple-openings-in-key-cities,08 June 2018,08 June 2018,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-deepens-footprint-in-china-with-multiple-openings-in-key-cities/Fraser_Place_Binhai_Tianjin.jpg,press_release,,,2024-11-26 23:58:55,2024-11-26 23:58:55,en,Frasers Hospitality Deepens Footprint in China with Multiple Openings in Key Cities,08 June 2018,Frasers Hospitality Deepens Footprint in China with Multiple Openings in Key Cities,08 June 2018,
